Hours,Scores
4.4,22.4
9.6,46.5
7.6,38.5
6.4,22.1
2.4,10.9
2.4,13.8
1.5,14.9
8.8,41.4
6.4,28.0
7.4,34.5
1.2,10.6
9.7,50.1
8.5,39.9
2.9,17.1
2.6,13.5
2.7,18.3
3.7,15.0
5.7,26.9
4.9,22.5
3.6,10.7
6.5,34.0
2.3,12.8
3.6,18.0
4.3,20.3
5.1,18.4
8.1,38.4
2.8,12.3
5.6,24.0
6.3,30.7
1.4,9.0
6.5,41.9
2.5,13.4
1.6,9.3
9.5,47.1
9.7,38.9
8.3,41.4
3.7,18.8
1.9,21.8
7.2,35.0
5.0,26.5
2.1,10.3
5.5,21.7
1.3,12.2
9.2,49.8
3.3,20.5
7.0,30.5
3.8,26.0
5.7,21.5
5.9,32.4
2.7,24.5
9.7,43.5
8.0,37.2
9.5,48.0
9.1,43.0
6.4,24.2
9.3,46.8
1.8,3.7
2.8,16.4
1.4,2.4
3.9,27.2
4.5,18.6
3.4,15.4
8.5,46.6
4.2,14.8
3.5,18.6
5.9,36.0
2.3,3.5
8.2,41.9
1.7,9.8
9.9,53.4
8.0,33.8
2.8,7.4
1.0,7.6
8.3,43.0
7.4,38.3
7.6,39.7
7.9,36.1
1.7,9.7
4.2,22.5
2.0,6.4
8.8,53.3
6.6,35.4
4.0,14.0
1.6,11.3
3.8,14.1
3.9,23.4
7.6,43.8
6.7,29.4
9.0,49.8
5.2,28.1
2.1,14.6
7.4,46.5
7.8,37.8
6.1,26.7
7.9,35.1
5.4,22.9
5.7,28.1
4.8,25.7
1.2,7.4
2.0,14.1
